type,post_id,comment_id,parent_comment_id,category,author_nickname,author_id,created_at,content,like_count,comment_count,url
post,4278803,,,자유수다,변호사자,6602967,17시간 전,"나나 연조직윤곽술 후기 나도 낋여왔긔❤ ㅋㅋㅋ
요즘 연조직윤곽술 모르는 사람 있나?
모르는 사람 늙크크 인정 ㅋㅋㅋㅋㅋ
사실 나도 한두달전까진 몰랐긔❤
원래는 윤곽을 해야하나
이나이에 벌써부터 거상을 해야하나
실리프팅 해봤자 6개월
백번양보해서 울쎄라 받아도 1년 남짓인데
도대체 뭘 어떻게 해야하나 싶었징❤ ㅎㅎㅎㅎㅎㅎㅎㅎ
지금이야 웃으면서 말하지만 이때 진짜 정병 개쎄게걸렸음 ㅎ
그러다가 발견한게 나나 연조직윤곽술인데
영크크 늙크크 뜻도 얼마전에 들은 세상이랑 담쌓고 살던 나한텐
와 이 수술자체가 굉장히 충격이더라
상담 가서 물어보니 난 거상이나 윤곽 안해도 된데 ㅇㅅㅇ
연조직윤곽술만 받아도 효과 좋을거같다고...ㅋㅋ
그냥 그대로 수술 받았는데 효과 무엇 ㅋㅋ
효과 뒤지게 좋아서 아직도 안믿김 ㅋㅋㅋㅋㅋ
얼굴 작아졌지 처진살 올라갔지
그리고 살 처진거 올라가면서 팔자도 없어지고
얼굴 울퉁불퉁한것도 해결됐긔❤
안그래도 요즘 인스타 보면서 저장하면서
얼굴 갸름한 인플루언서상? 팔로우하면서 보석함 저장중인데
그런 추구미에 한발짝 더 가까워진 것 같달까 ㅎvㅎ
공주 기분 진짜 넘좋긩 ㅎㅎㅎㅎ 
효과 진짜 좋은데 나처럼 이뻐지고 싶음 연조직 받아보는거 추천하긔❤❤❤❤❤
(울 언니 나 수술한거 보고 이마거상 상담하러감 ㅋㅋㅋㅋㅋ 개웃김ㅋㅋㅋ)",112,316,https://www.gangnamunni.com/community/4278803
comment,4278803,25177631,,,이제옆에없지만,8282065,2026-06-28T11:58:17Z,성공 부럽네요,0,,
comment,4278803,25177784,25177631,,변호사자,6602967,2026-06-28T12:06:29Z,감사드려요,0,,
comment,4278803,25177630,,,어떻게하즹,8404100,2026-06-28T11:58:16Z,나두 여기 넣어놨지 ㅎㅎ ,0,,
comment,4278803,25177780,25177630,,변호사자,6602967,2026-06-28T12:05:46Z,공감,0,,
comment,4278803,25177629,,,조~화~,8399088,2026-06-28T11:58:16Z,여기 워낙 유명하자너,0,,
comment,4278803,25177777,25177629,,변호사자,6602967,2026-06-28T12:05:10Z,넹넹,0,,
comment,4278803,25177628,,,얼씨꾸나,8403527,2026-06-28T11:58:15Z,결과 만족스러우시겠어요,0,,
comment,4278803,25177772,25177628,,변호사자,6602967,2026-06-28T12:04:31Z,공감해요,0,,
comment,4278803,25177627,,,만쉽이어,8387356,2026-06-28T11:58:15Z,와 원장님 실력 미쳐따...,0,,
comment,4278803,25177766,25177627,,변호사자,6602967,2026-06-28T12:03:45Z,쪽지로 보낼게,0,,
comment,4278803,25177626,,,진짜칼퇴,8407407,2026-06-28T11:58:14Z,완전 쩔어요,0,,
comment,4278803,25177762,25177626,,변호사자,6602967,2026-06-28T12:03:03Z,좋아요,0,,
comment,4278803,25177625,,,수빈이를걸러,8391565,2026-06-28T11:58:14Z,와 진짜 대박(입틀막,0,,
comment,4278803,25177756,25177625,,변호사자,6602967,2026-06-28T12:02:28Z,땡큐,0,,
comment,4278803,25177624,,,센터를불러야,8387044,2026-06-28T11:58:13Z,리스트 추가해봐야겠다 ㅠㅠ,0,,
comment,4278803,25177751,25177624,,변호사자,6602967,2026-06-28T12:01:52Z,추천,0,,
comment,4278803,25177623,,,그럼가능하지,8387089,2026-06-28T11:58:13Z,메모메모..,0,,
comment,4278803,25177747,25177623,,변호사자,6602967,2026-06-28T12:01:09Z,그렇지,0,,
comment,4278803,25177622,,,일본인처럼은,8324969,2026-06-28T11:58:12Z,잘되셨다 여기 뭐임 왜케 잘함..,0,,
comment,4278803,25177742,25177622,,변호사자,6602967,2026-06-28T12:00:36Z,감사해,0,,
comment,4278803,25177621,,,아파파파파서,8349505,2026-06-28T11:58:12Z,대박…,0,,
comment,4278803,25177733,25177621,,변호사자,6602967,2026-06-28T11:59:46Z,고마웡,0,,
